date,open,high,low,close,cap
2021-06-18 00:00,1.19247,1.19249,1.18472,1.18592,125679
2021-06-20 00:00,1.18542,1.18764,1.18542,1.18586,26400
2021-06-21 00:00,1.18588,1.19213,1.18476,1.19148,101015
2021-06-22 00:00,1.19148,1.19526,1.18808,1.19242,91372
2021-06-23 00:00,1.1924,1.197,1.19113,1.19243,90003
2021-06-24 00:00,1.19242,1.19562,1.19176,1.19405,80481
2021-06-25 00:00,1.19406,1.19751,1.19261,1.19347,64287
2021-06-27 00:00,1.19296,1.19419,1.192,1.19219,10442
2021-06-28 00:00,1.19218,1.19444,1.19022,1.19128,81674
2021-06-29 00:00,1.19129,1.1923,1.18775,1.18997,89693
2021-06-30 00:00,1.18999,1.19079,1.1845,1.185,98250
2021-07-01 00:00,1.18499,1.18842,1.18373,1.18432,96357
2021-07-02 00:00,1.18431,1.18741,1.1807,1.18622,86527
2021-07-04 00:00,1.18598,1.18685,1.18518,1.18563,10795
2021-07-05 00:00,1.18565,1.18804,1.18513,1.18741,61437
2021-07-06 00:00,1.1874,1.18951,1.18068,1.18223,101764
2021-07-07 00:00,1.18223,1.18364,1.17815,1.17901,97294
2021-07-08 00:00,1.17903,1.18678,1.17896,1.18347,140979
2021-07-09 00:00,1.18347,1.1881,1.18249,1.1871,81561
2021-07-11 00:00,1.18751,1.18802,1.1865,1.18697,14836
2021-07-12 00:00,1.18697,1.18797,1.1836,1.18747,74562
2021-07-13 00:00,1.18747,1.18747,1.17717,1.1784,92092
2021-07-14 00:00,1.1784,1.18387,1.17759,1.18278,82293
2021-07-15 00:00,1.18279,1.18506,1.17962,1.18091,78187
2021-07-16 00:00,1.18091,1.18221,1.17921,1.18047,62341
2021-07-18 00:00,1.18054,1.18138,1.17978,1.18039,9899
2021-07-19 00:00,1.18039,1.18244,1.17636,1.17914,105752
2021-07-20 00:00,1.17915,1.18024,1.17555,1.17763,102573
2021-07-21 00:00,1.17761,1.18046,1.17518,1.17955,76268
2021-07-22 00:00,1.17954,1.18304,1.17572,1.17747,115570
2021-07-23 00:00,1.17745,1.17865,1.17544,1.17683,60811
2021-07-25 00:00,1.17681,1.17768,1.17632,1.1775,11768
2021-07-26 00:00,1.1775,1.18172,1.17669,1.18029,71803
2021-07-27 00:00,1.1803,1.18409,1.17698,1.18253,71113
2021-07-28 00:00,1.18252,1.18578,1.17721,1.18523,96511
2021-07-29 00:00,1.18522,1.18942,1.18502,1.18808,66836
2021-07-30 00:00,1.18808,1.19085,1.18515,1.18667,67802
2021-08-01 00:00,1.18641,1.18723,1.18587,1.18717,11956
2021-08-02 00:00,1.18717,1.18968,1.18641,1.18716,63275
2021-08-03 00:00,1.18716,1.18932,1.18535,1.18746,59703
2021-08-04 00:00,1.18747,1.18996,1.18315,1.18348,57384
2021-08-05 00:00,1.18347,1.18572,1.18185,1.1824,51184
2021-08-06 00:00,1.18239,1.18298,1.17543,1.17596,51852
2021-08-08 00:00,1.1758,1.1761,1.17422,1.1758,11961
2021-08-09 00:00,1.17579,1.17689,1.1732,1.17391,48451
2021-08-10 00:00,1.17391,1.17427,1.17095,1.17209,73524
2021-08-11 00:00,1.17208,1.17541,1.17059,1.17409,60818
2021-08-12 00:00,1.17408,1.17481,1.17236,1.1738,45654
2021-08-13 00:00,1.17382,1.18045,1.17302,1.17933,39356
2021-08-15 00:00,1.17934,1.18007,1.17911,1.17922,6931
2021-08-16 00:00,1.17922,1.17941,1.17666,1.17677,45139
2021-08-17 00:00,1.17676,1.17846,1.17017,1.17179,60059
2021-08-18 00:00,1.17178,1.17427,1.16656,1.16727,60408
2021-08-19 00:00,1.16731,1.17041,1.16686,1.16853,60098
2021-08-20 00:00,1.16853,1.17044,1.16638,1.16951,46076
2021-08-22 00:00,1.16935,1.17208,1.16925,1.17205,11168
2021-08-23 00:00,1.17205,1.17501,1.17063,1.17402,52322
2021-08-24 00:00,1.17404,1.1765,1.17272,1.17359,49670
2021-08-25 00:00,1.1736,1.17745,1.1726,1.17629,58501
2021-08-26 00:00,1.17631,1.17789,1.1742,1.17554,64548
2021-08-27 00:00,1.17555,1.18022,1.17348,1.1791,85709
2021-08-29 00:00,1.17937,1.18097,1.17898,1.1806,7561
2021-08-30 00:00,1.18062,1.18151,1.17827,1.18147,55208
2021-08-31 00:00,1.18145,1.1845,1.17964,1.18051,65296
2021-09-01 00:00,1.18051,1.18571,1.17935,1.18388,62584
2021-09-02 00:00,1.18388,1.18842,1.18342,1.18784,51208
2021-09-03 00:00,1.18783,1.1909,1.18655,1.18773,64871
2021-09-05 00:00,1.1876,1.18862,1.18687,1.18687,7789
2021-09-06 00:00,1.18689,1.18851,1.18557,1.18801,39941
2021-09-07 00:00,1.18801,1.18822,1.18358,1.18419,70259
2021-09-08 00:00,1.18418,1.18448,1.18019,1.1821,76287
2021-09-09 00:00,1.1821,1.18412,1.18051,1.18313,81336
2021-09-10 00:00,1.18313,1.1851,1.18092,1.18101,58382
2021-09-12 00:00,1.18111,1.18157,1.18021,1.18064,7895
2021-09-13 00:00,1.18063,1.18188,1.177,1.18152,58636
2021-09-14 00:00,1.18151,1.18458,1.18,1.18093,71509
2021-09-15 00:00,1.18092,1.18318,1.17991,1.18161,66436
2021-09-16 00:00,1.18161,1.18162,1.17504,1.17684,70285
2021-09-17 00:00,1.17684,1.17888,1.17235,1.17239,62266
2021-09-19 00:00,1.17288,1.17305,1.17103,1.17113,5780
2021-09-20 00:00,1.17112,1.17399,1.17001,1.17304,86307
2021-09-21 00:00,1.17304,1.17486,1.17147,1.17231,71486
2021-09-22 00:00,1.17231,1.17555,1.16834,1.17048,82394
2021-09-23 00:00,1.17047,1.175,1.17037,1.17417,78686
2021-09-24 00:00,1.17417,1.1743,1.17005,1.17181,51588
2021-09-26 00:00,1.17253,1.17261,1.1716,1.17227,18248
2021-09-27 00:00,1.17226,1.17247,1.16846,1.16917,100226
2021-09-28 00:00,1.16916,1.17031,1.16682,1.16839,119172
2021-09-29 00:00,1.16839,1.16878,1.15894,1.16079,105383
2021-09-30 00:00,1.16077,1.16096,1.15624,1.1576,107156
2021-10-01 00:00,1.15761,1.16072,1.15724,1.15923,78648
2021-10-03 00:00,1.15954,1.16136,1.15911,1.15912,11142
2021-10-04 00:00,1.15912,1.164,1.15876,1.16033,75327
2021-10-05 00:00,1.16033,1.16131,1.15804,1.15925,69583
2021-10-06 00:00,1.15924,1.1594,1.15291,1.15543,88881
2021-10-07 00:00,1.15542,1.1572,1.15474,1.15507,59392
2021-10-08 00:00,1.15505,1.15861,1.15413,1.15721,62329
2021-10-10 00:00,1.15674,1.15792,1.15636,1.15707,7412
2021-10-11 00:00,1.15707,1.15867,1.15471,1.15579,55851
2021-10-12 00:00,1.15577,1.15703,1.15242,1.15524,65990
2021-10-13 00:00,1.15526,1.16009,1.15361,1.15939,77351
2021-10-14 00:00,1.15939,1.16242,1.15839,1.16093,98797
2021-10-15 00:00,1.16094,1.16185,1.15887,1.15983,79346
2021-10-17 00:00,1.15903,1.16052,1.15828,1.15837,12677
2021-10-18 00:00,1.15836,1.16426,1.15717,1.16396,68034
2021-10-19 00:00,1.16395,1.16693,1.16276,1.16438,62392
2021-10-20 00:00,1.16437,1.16674,1.16168,1.16645,59578
2021-10-21 00:00,1.16644,1.16652,1.16194,1.16287,84022
2021-10-22 00:00,1.16286,1.16556,1.16218,1.16395,92030
2021-10-24 00:00,1.16382,1.16631,1.16356,1.16625,9667
2021-10-25 00:00,1.16625,1.16649,1.15907,1.15995,74432
2021-10-26 00:00,1.15996,1.16257,1.15848,1.16023,64493
2021-10-27 00:00,1.16024,1.16259,1.15849,1.16046,81025
2021-10-28 00:00,1.16045,1.16921,1.15821,1.16744,108724
2021-10-29 00:00,1.16742,1.16774,1.1535,1.15529,87549
2021-10-31 00:00,1.15576,1.15642,1.15513,1.15532,9832
2021-11-01 00:00,1.15532,1.1609,1.1546,1.1599,74323
2021-11-02 00:00,1.1599,1.16133,1.15748,1.15832,69859
2021-11-03 00:00,1.15833,1.16164,1.15622,1.15962,101542
2021-11-04 00:00,1.15959,1.15961,1.15282,1.15441,87902
2021-11-05 00:00,1.15441,1.15731,1.15132,1.15631,82982
2021-11-07 00:00,1.15566,1.15698,1.15531,1.15616,12621
2021-11-08 00:00,1.15615,1.15949,1.15503,1.15864,58859
2021-11-09 00:00,1.15861,1.16087,1.15698,1.15866,67998
2021-11-10 00:00,1.15865,1.15874,1.14647,1.1474,102895
2021-11-11 00:00,1.14741,1.14849,1.14359,1.14383,68517
2021-11-12 00:00,1.14383,1.1462,1.14328,1.14413,62841
2021-11-14 00:00,1.14473,1.14638,1.1441,1.1459,6608
2021-11-15 00:00,1.14589,1.1463,1.13562,1.13826,80694
2021-11-16 00:00,1.13827,1.13844,1.13089,1.13112,88195
2021-11-17 00:00,1.13111,1.13379,1.12635,1.13292,85771
2021-11-18 00:00,1.13292,1.1374,1.13137,1.13541,76418
2021-11-19 00:00,1.1354,1.13604,1.12499,1.12794,110424
2021-11-21 00:00,1.12873,1.12907,1.12648,1.12655,14391
2021-11-22 00:00,1.12655,1.12904,1.12259,1.12382,88667
2021-11-23 00:00,1.12381,1.1275,1.12316,1.12355,99498
2021-11-24 00:00,1.12357,1.12552,1.11859,1.12171,96253
2021-11-25 00:00,1.1217,1.12296,1.12055,1.12223,62492
2021-11-26 00:00,1.12224,1.13301,1.12173,1.13071,122277
2021-11-28 00:00,1.13004,1.13134,1.12768,1.12818,19356
2021-11-29 00:00,1.12818,1.13046,1.12583,1.13015,93860
2021-11-30 00:00,1.13015,1.13828,1.12349,1.1327,162755
2021-12-01 00:00,1.13271,1.13596,1.13025,1.1332,114323
2021-12-02 00:00,1.13321,1.13476,1.12907,1.1299,85724
2021-12-03 00:00,1.12989,1.13333,1.12665,1.13117,111176
2021-12-05 00:00,1.13046,1.13129,1.12882,1.12893,16189
2021-12-06 00:00,1.12896,1.13101,1.12663,1.12901,68475
2021-12-07 00:00,1.129,1.12984,1.12275,1.12915,70289
2021-12-08 00:00,1.12914,1.13547,1.12667,1.13301,84048
2021-12-09 00:00,1.133,1.13367,1.12783,1.12996,63236
2021-12-10 00:00,1.12995,1.13239,1.12651,1.13146,65819
2021-12-12 00:00,1.131,1.13192,1.12935,1.12971,7366
2021-12-13 00:00,1.12971,1.13071,1.126,1.12776,71906
2021-12-14 00:00,1.12776,1.13238,1.12535,1.12589,79254
2021-12-15 00:00,1.12588,1.12991,1.12215,1.12873,116817
2021-12-16 00:00,1.12874,1.13603,1.12834,1.13238,79040
2021-12-17 00:00,1.13238,1.13488,1.1235,1.1237,67001
2021-12-19 00:00,1.12371,1.12503,1.12344,1.12486,10505
2021-12-20 00:00,1.12485,1.13037,1.12442,1.12841,66727
2021-12-21 00:00,1.1284,1.13026,1.12607,1.12774,61844
2021-12-22 00:00,1.12773,1.13423,1.12644,1.13385,61390
2021-12-23 00:00,1.13385,1.13418,1.129,1.13258,76065
2021-12-24 00:00,1.13257,1.13433,1.13031,1.13102,180056
2021-12-26 00:00,1.13101,1.1326,1.13076,1.13211,5960
2021-12-27 00:00,1.13209,1.13344,1.13028,1.13199,38793
2021-12-28 00:00,1.13199,1.13331,1.12895,1.13073,45917
2021-12-29 00:00,1.13076,1.13688,1.12737,1.13419,67181
2021-12-30 00:00,1.13419,1.13444,1.12984,1.13184,52523
2021-12-31 00:00,1.13186,1.13863,1.13032,1.13667,46329
2022-01-02 00:00,1.1369,1.13782,1.13421,1.13438,7192
2022-01-03 00:00,1.13439,1.13661,1.12797,1.12993,86282
2022-01-04 00:00,1.12992,1.13224,1.12721,1.1294,101337
2022-01-05 00:00,1.1294,1.13463,1.12873,1.1312,101424
2022-01-06 00:00,1.1312,1.13318,1.12845,1.13001,104682
2022-01-07 00:00,1.13,1.13647,1.12922,1.13593,77233
2022-01-09 00:00,1.13515,1.13602,1.13371,1.13371,11783
2022-01-10 00:00,1.13372,1.13444,1.12847,1.1341,88061
2022-01-11 00:00,1.1341,1.13755,1.1313,1.13743,66384
2022-01-12 00:00,1.13741,1.14526,1.13547,1.14391,81081
2022-01-13 00:00,1.1439,1.14817,1.14383,1.14742,73968
2022-01-14 00:00,1.14742,1.14827,1.13984,1.1409,66359
2022-01-16 00:00,1.14118,1.14177,1.14,1.14162,8686
2022-01-17 00:00,1.14161,1.14344,1.13917,1.14139,48659
2022-01-18 00:00,1.1414,1.14151,1.13146,1.1324,91998
2022-01-19 00:00,1.13242,1.13651,1.13241,1.1354,70441
2022-01-20 00:00,1.13538,1.13688,1.13009,1.13285,79516
2022-01-21 00:00,1.13286,1.13596,1.13223,1.13418,59385
2022-01-23 00:00,1.13396,1.1345,1.13306,1.13307,12663
2022-01-24 00:00,1.13305,1.13363,1.12904,1.13124,100549
2022-01-25 00:00,1.13123,1.13164,1.12631,1.13066,79473
2022-01-26 00:00,1.13066,1.1307,1.12221,1.12244,109376
2022-01-27 00:00,1.12244,1.12274,1.11312,1.11532,104284
2022-01-28 00:00,1.11531,1.11735,1.11213,1.1145,99426
2022-01-30 00:00,1.11422,1.1162,1.1138,1.11582,11274
2022-01-31 00:00,1.11579,1.12478,1.11462,1.12314,93997
2022-02-01 00:00,1.12314,1.12786,1.12259,1.12728,86166
2022-02-02 00:00,1.12728,1.133,1.12665,1.13062,68760
2022-02-03 00:00,1.13061,1.14687,1.12672,1.14687,135176
2022-02-04 00:00,1.14688,1.14837,1.14115,1.14477,94944
2022-02-06 00:00,1.14638,1.14646,1.14247,1.1431,11025
2022-02-07 00:00,1.14312,1.14587,1.14151,1.14291,89234
2022-02-08 00:00,1.1429,1.14335,1.13961,1.14288,75519
2022-02-09 00:00,1.14288,1.14477,1.14024,1.14271,66708
2022-02-10 00:00,1.14272,1.14948,1.13748,1.14016,123107
2022-02-11 00:00,1.14013,1.1418,1.13296,1.13463,122636
2022-02-13 00:00,1.13369,1.1369,1.13365,1.13433,20124
2022-02-14 00:00,1.13434,1.13522,1.12799,1.1318,116342
2022-02-15 00:00,1.1318,1.13681,1.13093,1.13459,93076
2022-02-16 00:00,1.13461,1.13957,1.13449,1.13837,87446
2022-02-17 00:00,1.13836,1.1386,1.1323,1.13682,123764
2022-02-18 00:00,1.13681,1.13769,1.1314,1.13203,74663
2022-02-20 00:00,1.13186,1.13679,1.1313,1.13653,14156
2022-02-21 00:00,1.13654,1.13905,1.12963,1.12994,80203
2022-02-22 00:00,1.12995,1.13667,1.1288,1.13248,105185
2022-02-23 00:00,1.13247,1.13588,1.1256,1.12581,87393
2022-02-24 00:00,1.12582,1.12624,1.11062,1.12085,219339
2022-02-25 00:00,1.12084,1.12739,1.11659,1.12719,124740
2022-02-27 00:00,1.11237,1.11944,1.11225,1.11504,60465
2022-02-28 00:00,1.11505,1.12464,1.11421,1.11993,149358
2022-03-01 00:00,1.11994,1.12329,1.10896,1.11184,140468
2022-03-02 00:00,1.11186,1.11437,1.10573,1.10968,169347
2022-03-03 00:00,1.10967,1.11062,1.101,1.10263,134539
2022-03-04 00:00,1.10264,1.10391,1.08856,1.09311,123730
2022-03-06 00:00,1.09199,1.09287,1.08213,1.08733,45954
2022-03-07 00:00,1.08731,1.09325,1.08059,1.08717,217616
2022-03-08 00:00,1.08718,1.09582,1.08511,1.0911,201543
2022-03-09 00:00,1.0911,1.10951,1.0905,1.1047,136755
2022-03-10 00:00,1.10469,1.11212,1.0976,1.09964,178859
2022-03-11 00:00,1.09963,1.10435,1.09018,1.09099,159084
2022-03-13 00:00,1.09205,1.09387,1.09005,1.09097,47202
2022-03-14 00:00,1.09096,1.09938,1.09011,1.09757,203107
2022-03-15 00:00,1.09758,1.10196,1.0926,1.09677,210042
2022-03-16 00:00,1.09676,1.10523,1.095,1.10339,253277
2022-03-17 00:00,1.1034,1.11375,1.10219,1.10794,156380
2022-03-18 00:00,1.10793,1.10942,1.1003,1.10492,127160
2022-03-20 00:00,1.10561,1.10584,1.10374,1.10493,19682
2022-03-21 00:00,1.10493,1.10701,1.0981,1.10042,174039
2022-03-22 00:00,1.10043,1.10457,1.09608,1.10321,207808
2022-03-23 00:00,1.10322,1.10397,1.09639,1.09847,158990
2022-03-24 00:00,1.09846,1.10356,1.09659,1.1031,178349
2022-03-25 00:00,1.1031,1.10376,1.09797,1.09805,157617
2022-03-27 00:00,1.09845,1.09869,1.0951,1.09545,49961
2022-03-28 00:00,1.09541,1.09995,1.09446,1.09877,207474
2022-03-29 00:00,1.09877,1.1137,1.09749,1.11154,290826
2022-03-30 00:00,1.11155,1.11848,1.11054,1.11684,255353
2022-03-31 00:00,1.11684,1.11756,1.10595,1.10671,172801
2022-04-01 00:00,1.1067,1.10757,1.10279,1.10427,161097
2022-04-03 00:00,1.10301,1.10544,1.10301,1.10525,11661
2022-04-04 00:00,1.10524,1.10539,1.09603,1.09689,89752
2022-04-05 00:00,1.09688,1.09886,1.08906,1.08968,88419
2022-04-06 00:00,1.08969,1.09379,1.08745,1.09061,148950
2022-04-07 00:00,1.09057,1.09383,1.08565,1.08571,168221
2022-04-08 00:00,1.08572,1.08917,1.08364,1.08744,102939
2022-04-10 00:00,1.09202,1.09202,1.0875,1.08817,21445
2022-04-11 00:00,1.08819,1.09332,1.08665,1.0873,150016
2022-04-12 00:00,1.08731,1.09036,1.08113,1.08397,240092
2022-04-13 00:00,1.08396,1.09093,1.08088,1.09075,216703
2022-04-14 00:00,1.09074,1.09233,1.07575,1.08,321513
2022-04-15 00:00,1.08,1.08236,1.07991,1.08057,83538
2022-04-17 00:00,1.08029,1.08216,1.07936,1.07967,51999
2022-04-18 00:00,1.07966,1.08145,1.0761,1.07689,147492
2022-04-19 00:00,1.0769,1.08191,1.07665,1.08182,182896
2022-04-20 00:00,1.08183,1.0867,1.08057,1.08286,171434
2022-04-21 00:00,1.08287,1.09362,1.08252,1.08389,244691
2022-04-22 00:00,1.08388,1.08515,1.07707,1.07947,173343
2022-04-24 00:00,1.08041,1.08153,1.07772,1.07881,57896
2022-04-25 00:00,1.07881,1.07882,1.06966,1.07367,285444
2022-04-26 00:00,1.07366,1.07386,1.06336,1.06406,218196
2022-04-27 00:00,1.06406,1.06546,1.05145,1.05295,247454
2022-04-28 00:00,1.05295,1.05647,1.0471,1.05118,263657
2022-04-29 00:00,1.0512,1.05928,1.05087,1.05409,202795
2022-05-01 00:00,1.05444,1.05597,1.05173,1.0518,79348
2022-05-02 00:00,1.0518,1.05682,1.04901,1.05169,224959
2022-05-03 00:00,1.05169,1.05776,1.04921,1.05179,205766
2022-05-04 00:00,1.0518,1.06417,1.05059,1.06225,326849
2022-05-05 00:00,1.06226,1.0628,1.04925,1.05349,350605
2022-05-06 00:00,1.05349,1.05988,1.04826,1.05452,311759
2022-05-08 00:00,1.05398,1.05426,1.05049,1.05088,52133
2022-05-09 00:00,1.05087,1.05924,1.04951,1.05708,229858
2022-05-10 00:00,1.05708,1.05852,1.05253,1.05376,231525
2022-05-11 00:00,1.05375,1.05771,1.05017,1.05231,361002
2022-05-12 00:00,1.05232,1.05267,1.03539,1.03955,303292
2022-05-13 00:00,1.03955,1.04195,1.03496,1.04116,132525
2022-05-15 00:00,1.03952,1.0417,1.03889,1.03954,61205
2022-05-16 00:00,1.03955,1.0454,1.03893,1.04375,184744
2022-05-17 00:00,1.04375,1.05636,1.0433,1.0526,215456
2022-05-18 00:00,1.05261,1.0542,1.04597,1.04988,177152
2022-05-19 00:00,1.04988,1.0607,1.0465,1.056,249739
2022-05-20 00:00,1.05601,1.0599,1.05328,1.0561,152287
2022-05-22 00:00,1.05601,1.05946,1.05552,1.0586,48635
2022-05-23 00:00,1.05861,1.06973,1.05846,1.06677,197530
2022-05-24 00:00,1.0668,1.07485,1.06622,1.07099,170957
2022-05-25 00:00,1.071,1.0715,1.06421,1.06938,190696
